Datum Tid (UTC) Lufttemperatur Kvalitet
1953 07 21 17.275 Y
1953 07 22 20.675 Y
1953 07 23 20.15 Y
1953 07 24 15.675 Y
1953 07 25 17.35 Y
1953 07 26 19.85 Y
1953 07 27 18.15 Y
1953 07 28 15.6 Y
1953 07 29 16.525 Y
1953 07 30 17.25 Y
1953 07 31 13.725 Y
1953 08 01 15.05 Y
1953 08 02 15.075 Y
1953 08 03 15.225 Y
1953 08 04 15.825 Y
1953 08 05 15.475 Y
1953 08 06 15.825 Y
1953 08 07 15.825 Y
1953 08 08 15.3 Y
1953 08 09 16.925 Y
1953 08 10 17.175 Y
1953 08 11 18.2 Y
1953 08 12 17.575 Y
1953 08 13 18.2 Y
1953 08 14 18.2 Y
1953 08 15 18.675 Y
1953 08 16 16.55 Y
1953 08 17 16.125 Y
