Datum Tid (UTC) Lufttemperatur Kvalitet
1962 10 12 8.63333 G
1962 10 13 8.06667 G
1962 10 14 9.2 G
1962 10 15 4.66667 G
1962 10 16 9.96667 G
1962 10 17 11.4667 G
1962 10 18 13.3333 G
1962 10 19 10 G
1962 10 20 9.16667 G
1962 10 21 10.4333 G
1962 10 22 9.53333 G
1962 10 23 8.7 G
1962 10 24 8.83333 G
1962 10 25 10.1 G
1962 10 26 9.9 G
1962 10 27 5.46667 G
1962 10 28 6.2 G
1962 10 29 6.6 G
1962 10 30 5.73333 G
1962 10 31 7.36667 G
1962 11 01 5.6 G
1962 11 02 5.16667 G
1962 11 03 7.36667 G
1962 11 04 8.03333 G
1962 11 05 9.63333 G
1962 11 06 9.1 G
1962 11 07 8.2 G
1962 11 08 8.43333 G
1962 11 09 7.46667 G
1962 11 10 4.03333 G
1962 11 11 2.03333 G
1962 11 12 3.56667 G
1962 11 13 3.26667 G
1962 11 14 4.73333 G
1962 11 15 3.83333 G
1962 11 16 1.76667 G
1962 11 17 1.7 G
1962 11 18 2 G
1962 11 19 1.93333 G
1962 11 20 2.06667 G
1962 11 21 1.53333 G
1962 11 22 -0.9 G
1962 11 23 0.7 G
1962 11 24 -0.133333 G
1962 11 25 3.23333 G
1962 11 26 5.26667 G
1962 11 27 5.36667 G
1962 11 28 5.13333 G
1962 11 29 5.03333 G
1962 11 30 1.13333 G
1962 12 01 -1.9 G
1962 12 02 1.53333 G
1962 12 03 1 G
1962 12 04 2.3 G
1962 12 05 1.4 G
1962 12 06 2.5 G
1962 12 07 1.16667 G
1962 12 08 2.13333 G
1962 12 09 3.4 G
1962 12 10 4.53333 G
1962 12 11 2.93333 G
1962 12 12 4.86667 G
1962 12 13 1.73333 G
1962 12 14 0.4 G
1962 12 15 1.03333 G
1962 12 16 0.133333 G
1962 12 17 -2.3 G
1962 12 18 -4.63333 G
1962 12 19 -4.9 G
1962 12 20 -4.1 G
1962 12 21 -4.3 G
1962 12 22 -7.03333 G
1962 12 23 -7.46667 G
1962 12 24 -7.56667 G
1962 12 25 -7.6 G
1962 12 26 -3.53333 G
1962 12 27 -2.9 G
1962 12 28 -2.36667 G
1962 12 29 -4.16667 G
1962 12 30 -8.36667 G
1962 12 31 -8.93333 G
1963 01 01 -7.5 G
1963 01 02 -8.36667 G
1963 01 03 -5.33333 G
1963 01 04 -2.16667 G
1963 01 05 -0.133333 G
1963 01 06 -3.7 G
1963 01 07 -10.5333 G
1963 01 08 -6.36667 G
1963 01 09 -10.1667 G
1963 01 10 -12.9333 G
1963 01 11 -13.0333 G
1963 01 12 -8.56667 G
1963 01 13 -4.2 G
1963 01 14 -10.8667 G
1963 01 15 -12 G
1963 01 16 -9.53333 G
1963 01 17 -11.1333 G
1963 01 18 -8.66667 G
1963 01 19 -8.4 G
1963 01 20 -7.2 G
1963 01 21 -10.4667 G
1963 01 22 -6.26667 G
1963 01 23 -0.866667 G
1963 01 24 1.3 G
1963 01 25 -2 G
1963 01 26 -0.166667 G
1963 01 27 -5.93333 G
1963 01 28 -4.8 G
1963 01 29 -4.2 G
1963 01 30 -5 G
1963 01 31 -4 G
1963 02 01 -8.33333 G
1963 02 02 -6.4 G
1963 02 03 -6.1 G
1963 02 04 -6.96667 G
1963 02 05 -3.93333 G
1963 02 06 -7.4 G
1963 02 07 -5.33333 G
1963 02 08 -7.2 G
1963 02 09 -2.03333 G
1963 02 10 -2.46667 G
1963 02 11 -4 G
1963 02 12 -2.3 G
1963 02 13 -1.96667 G
1963 02 14 -3.73333 G
1963 02 15 -3.8 G
1963 02 16 -3.46667 G
1963 02 17 -2.63333 G
1963 02 18 -6.36667 G
1963 02 19 -8.6 G
1963 02 20 -8.83333 G
1963 02 21 -10 G
1963 02 22 -7.86667 G
1963 02 23 -2.93333 G
1963 02 24 -1.63333 G
1963 02 25 1 G
1963 02 26 -1.33333 G
1963 02 27 -4.03333 G
1963 02 28 -1.5 G
1963 03 01 -3.36667 G
1963 03 02 -4.53333 G
1963 03 03 -2.23333 G
1963 03 04 -4.8 G
1963 03 05 -3.1 G
1963 03 06 2.8 G
1963 03 07 2.2 G
1963 03 08 1.93333 G
1963 03 09 -2.93333 G
1963 03 10 -1.16667 G
1963 03 11 1.46667 G
1963 03 12 1.73333 G
1963 03 13 -2.06667 G
1963 03 14 -7.33333 G
1963 03 15 -3.66667 G
1963 03 16 -2.1 G
1963 03 17 -0.933333 G
1963 03 18 -0.2 G
1963 03 19 -0.966667 G
1963 03 20 -1.63333 G
1963 03 21 -2.6 G
1963 03 22 -3.86667 G
1963 03 23 -0.4 G
1963 03 24 1.13333 G
1963 03 25 1.93333 G
1963 03 26 2.63333 G
1963 03 27 -0.8 G
1963 03 28 -0.433333 G
1963 03 29 2.3 G
1963 03 30 -0.0666667 G
1963 03 31 0.533333 G
1963 04 01 -0.0666667 G
1963 04 02 2.1 G
1963 04 03 1.1 G
1963 04 04 3.23333 G
1963 04 05 3.9 G
1963 04 06 2.86667 G
1963 04 07 4.46667 G
1963 04 08 5.66667 G
1963 04 09 5.96667 G
1963 04 10 6.03333 G
1963 04 11 7.6 G
1963 04 12 8.63333 G
1963 04 13 4.96667 G
1963 04 14 5.56667 G
1963 04 15 6 G
1963 04 16 4.63333 G
1963 04 17 3.16667 G
1963 04 18 2.73333 G
1963 04 19 7.46667 G
1963 04 20 6.8 G
1963 04 21 7.23333 G
1963 04 22 5.46667 G
1963 04 23 6.46667 G
1963 04 24 2.83333 G
1963 04 25 4.6 G
1963 04 26 8.46667 G
1963 04 27 7.63333 G
1963 04 28 7.56667 G
1963 04 29 8.3 G
1963 04 30 7.6 G
1963 05 01 6.4 G
1963 05 02 7.16667 G
1963 05 03 7.3 G
1963 05 04 8.63333 G
1963 05 05 6.33333 G
1963 05 06 9.03333 G
1963 05 07 9.5 G
1963 05 08 11.3667 G
1963 05 09 12.8 G
1963 05 10 15.7333 G
1963 05 11 11.1667 G
1963 05 12 10.8333 G
1963 05 13 13.6 G
1963 05 14 13.1 G
1963 05 15 12.1667 G
1963 05 16 12.5667 G
1963 05 17 11.8 G
1963 05 18 10.3667 G
1963 05 19 9 G
1963 05 20 9.1 G
1963 05 21 12.2333 G
1963 05 22 15.9333 G
1963 05 23 16.9 G
1963 05 24 18.3667 G
1963 05 25 19.0667 G
1963 05 26 20.0333 G
1963 05 27 19.0333 G
1963 05 28 18.1333 G
1963 05 29 17.9333 G
1963 05 30 18.9667 G
1963 05 31 17.7333 G
1963 06 01 15.6667 G
1963 06 02 14.6667 G
1963 06 03 18.9333 G
1963 06 04 16.9667 G
1963 06 05 16.2 G
1963 06 06 19.2667 G
1963 06 07 19.2 G
1963 06 08 20.3 G
1963 06 09 19.1 G
1963 06 10 19.8333 G
1963 06 11 19.5333 G
1963 06 12 17.4667 G
1963 06 13 17.7333 G
1963 06 14 17.6667 G
1963 06 15 17.9667 G
1963 06 16 15.8667 G
1963 06 17 16.4333 G
1963 06 18 17.5333 G
1963 06 19 14.9667 G
1963 06 20 13.4667 G
1963 06 21 15.8 G
1963 06 22 15.8333 G
1963 06 23 15.3333 G
1963 06 24 15.2 G
1963 06 25 16.0667 G
1963 06 26 15.3 G
1963 06 27 17.2667 G
1963 06 28 14.4667 G
1963 06 29 13.8333 G
1963 06 30 17.2667 G
1963 07 01 18.9667 G
1963 07 02 20.5667 G
1963 07 03 21 G
1963 07 04 21.1667 G
1963 07 05 22.4 G
1963 07 06 18.5333 G
1963 07 07 16.8333 G
1963 07 08 13.3667 G
1963 07 09 13.6 G
1963 07 10 14.7667 G
1963 07 11 15.3333 G
1963 07 12 17.0333 G
1963 07 13 17.3667 G
1963 07 14 16.8 G
1963 07 15 18.4333 G
1963 07 16 18.7333 G
1963 07 17 17.3 G
1963 07 18 18.4333 G
1963 07 19 20.7333 G
1963 07 20 18.9 G
1963 07 21 16.9333 G
1963 07 22 18.6667 G
1963 07 23 21.0667 G
1963 07 24 23.8333 G
1963 07 25 18.8333 G
1963 07 26 16.3667 G
1963 07 27 16.1333 G
1963 07 28 15.1 G
